,,,,,,
,843568089,Houston,3-M PHARMACEUTICALS PVT. LTD.,"10800 Metcalf- Avenue-Overland Park, Kansas 66/210",,
,226038045,COFFEYVILLE,3-M DRUG DELIVERY SYSTEMS.,"56-0 Westport Road, Kansas City, Missouri 64111.",,
,394772114,PHILLIPSBURG,PENINSULA LABORATORIES,"2345 McGee StreetKansas City, MO 64108Telephone: 816-421-1234FAX: 816-435-4190",,
,497666434,COFFEYVILLE,INTERNATIONAL LABORATORIES INC.,"6100 College Blvd.Overland Park, KS 66211Telephone: 913-234-2100",,
,950314807,BANCROFT,ABLE PACKAGING LTD.,770 West 47th StreetTelephone: 816-931-4400FAX: 816-931-3352,,
,356237388,HAMPDEN,MAUSER WERKE GMBH,Westin Crown CenterOne Pershing RoadMO 64108Telephone: 816-474-4400FAX: 816-391-4438,,
,444928919,LEWISTON,MERCK SHARP & DOHME RESEARCH LABS DIV MERCK & CO.INC.,"""2489 Walden Avenue Buffalo Cheektowaga NY 14225 t:+1 800 804 4167 f:+1 716 685 5398""",,
,674100711,LEWISTON,COLORS FOR PLASTICS,"""2720 West Grand Avenue Chicago IL 60612 t:+1 800 621 8520 f:+773 227 3380""",,
,608429176,Collins,COLORS FOR PLASTICS,"""1066-68 Marshall Avenue CINC.innati OH 45225 t:+1 800 543 2063 f:+1 513 541 3427""",,
,805401791,Wilmington,COLORS FOR PLASTICS,"""4-C Sunbelt Court Columbia South Carolina SC 29203 t:+1 803 754 2882 f:+1 803 754 3448""",,
,73564849,Wilmington,ACTION COLOR INC.,"""3440 Centerpoint Drive Urbancrest OH 43123 t:+1 614 801 5900 f:+1 614 801 5955""",,
,513292369,Savannah,WHATMAN PAPER LTD.,"""Unit 2 490 Bryant Street Denver CO.80204 t:+1 800 332 2415 f:+1 303 825 3266""",,
,623266604,Savannah,CRODA INC.,10400 Hickman Des Moines IA 50325 t:+1 800 685 6922,,
,57894072,HOUSTON,JOHNSON MATTHEY INC.,"""Suite C-1 1477 Lomaland Dr El Paso TX 79935 t:+1 915 591 2280 f:+1 915 591 2834""",,
,451710899,HOUSTON,LANCASTER SYNTHESIS DIV MTM RESEARCH CHEMICALS LTD.,"""275 Grimes Street Eugene OR 97402 t:+1 800 215 4666 f:+1 541 345 2718""",,
,712522688,Houston,LANCASTER SYNTHESIS DIV MTM RESEARCH CHEMICALS LTD.,"""#101-10315 Airport Road Everett WA 98206 t:+1 425 438 8442 f:+1 425 438 8443""",,
,4123334,Houston,UNION CARBIDE CHEMICALS AND PLASTICS CO.INC.,"""2611 Pickett Place, Unit 4 Fairbanks AK 99701 t:+1 907 522 9522 f:+1 907 456 1375""",,
,556178402,Texas City,DSM PHARMA CHEMICALS SOUTH HAVEN INC.,"""12-1 Dubon Court Long Island Farmingdale NY 11735-1015 t:+1 866 419 2581 f:+1 631 847 3819""",,
,532685286,Savannah,BAYER OY,"""Suite C 2366 N. Steves Blvd Flagstaff AZ 86004 t:+1 866 401 9139 f:+1 928 527 4701""",,
,529116223,Charleston,THATCHER CO,2335 Laurens Circle Florence SC 29501 t:+1 800 256 9864 f:+1 843 395 2278,,
,102962771,Jacksonville,NV ORGANON,308 Commerce Drive Fort Collins CO.80524 t:+1 800 281 8992 f:+1 970 224 0488,,
,305762845,Houston,MANTROSE HAEUSER CO.INC.,900 South Fresno St Fort Smith AR 72902 t:+1 501 785 3270 f:+1 479 785 1596,,
,562649713,WILMINGTON,HELVOET PHARMA MARYLAND,"7601 Pebble Drive, Bldg. #22 Fort Worth TX 76118 t:+1 817 284 1089 f:+1 817 834 5866",,
,868661286,HOUSTON,PRODUCTOS QUIMICOS NATURALES S A,"1191 North Fiesta Blvd, Suite #4 Gilbert AZ 85233 t:+1 480 507 5305 f:+1 480 507 5311",,
,557985921,HOUSTON,JOHNSON MATTHEY INC.,510 Windy Point Drive Glendale Heights IL 60139 t:+1 630 545 9065 f:+1 630 545 9531,,
